,sample_id,farm,visit_number,date_collected,ctx_m,animals_sampled,weaned_heifer,adult,dry,footpath,amp_c,ct_pos,cipR,tetR,cephR,strepR,amoxR,plain_undiluted,anything_waste,heifers_waste,whichclinresp,firstmastitis,poultry,equine,total_cattle,yield,herd_size,bought_pre,scc,pneum_vacc,diarrvacc,anticocc,halocur,nsaiddiarr,trough_clean,time_dam,um_spray,give_col,wean,pattern,percentdryoff,calving_group,calhousing_type,calhousing_older,hectares,othergraze,bvdvacc,ibrvacc,leptovacc,salmvacc,lungvacc,clostvacc,organic,daystreatmast,timesfirstmast,injectmast,nsaidmast,treatfoot,abcalve,nsaidcalve,calveclean,milkgraze,lime,predip,acf,cleancluster,drytrough,premises,shows,market,hostfarmwalk,starling,deer,badger,rook,pigeon,fox,pheasant,rat,shoot,hunt,outsource,feedlorry,muckspreader,aiexternal,machinery,bedmilk_1,bedmilk_2,bedmilk_3,bedmilk_4,bedmilk_6,bedmilk_8,foragetype_1,foragetype_2,foragetype_3,foragetype_4,foragetype_5,foragetype_6,foragetype_7,foragetype_8,foragebought,manure_1,manure_2,manure_3,manure_4,manure_5,manure_6,manure_7,manure_8,manure_9,s_housed_outdoor,cefq_dct,ceph_dct,fram_dct,clox_dct,s_calving_now,water,total_mg_pcu,ceph_3_4,ceph_1,co_amox,tet,amox,fq,novobiocin,pen,cefalexin,strep,preweaned_heifer
11,ATL11,ATL,2,23/03/2017,0,h,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,outdoor,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
12,ATL12,ATL,2,23/03/2017,0,a,0,1,0,0,0,0,0,1,0,0,1,390,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
13,ATL13,ATL,2,23/03/2017,0,a,0,1,0,0,0,0,0,0,0,0,1,330,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
14,ATL14,ATL,2,23/03/2017,0,pw,0,0,0,0,0,0,0,1,0,0,0,880,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,1
15,ATL15,ATL,2,23/03/2017,0,pw,0,0,0,0,0,0,0,1,0,0,1,8900,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,1
16,ATL16,ATL,2,23/03/2017,1,pw,0,0,0,0,0,1,0,1,1,1,1,8160,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,1
17,ATL17,ATL,2,23/03/2017,0,pw,0,0,0,0,0,0,0,0,0,0,0,60,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,1
18,ATL18,ATL,2,23/03/2017,0,h,1,0,0,0,0,0,0,0,0,1,1,120,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
19,ATL19,ATL,3,18/04/2017,0,pw,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,0,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,1
20,ATL20,ATL,3,18/04/2017,0,a,0,1,0,0,0,0,0,0,0,0,0,200,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,0,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
21,ATL21,ATL,3,18/04/2017,0,a,0,1,0,0,0,0,0,1,0,0,1,770,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,0,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
22,ATL22,ATL,3,18/04/2017,0,h,1,0,0,0,0,0,0,1,0,0,1,70,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,0,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
23,ATL23,ATL,3,18/04/2017,0,pw,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,0,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,1
24,ATL24,ATL,3,18/04/2017,0,h,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,outdoor,0,0,1,0,0,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
25,ATL25,ATL,4,25/05/2017,0,h,0,0,0,1,0,0,0,0,0,0,0,50,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,outdoor,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
26,ATL26,ATL,4,25/05/2017,0,pw,0,0,0,0,0,0,0,1,0,1,0,190,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,1
27,ATL27,ATL,4,25/05/2017,0,a,0,1,0,0,1,1,0,0,1,0,1,750,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
28,ATL28,ATL,4,25/05/2017,0,a,0,1,0,0,0,0,0,1,0,0,1,270,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
29,ATL29,ATL,4,25/05/2017,0,h,1,0,0,0,0,0,0,1,0,0,1,1240,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
30,ATL30,ATL,4,25/05/2017,0,h,1,0,0,0,0,0,0,1,0,0,1,390,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
31,ATL31,ATL,5,28/06/2017,0,h,1,0,0,0,0,0,0,1,0,0,1,1310,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
32,ATL32,ATL,5,28/06/2017,0,h,1,0,0,0,0,0,0,1,0,1,1,520,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
33,ATL33,ATL,5,28/06/2017,0,a,0,1,0,0,0,0,0,0,0,1,0,10,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
34,ATL34,ATL,5,28/06/2017,0,a,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
35,ATL35,ATL,5,28/06/2017,0,h,0,0,0,1,0,0,0,0,0,0,0,100,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,outdoor,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
36,ATL36,ATL,6,27/07/2017,0,h,1,0,0,0,0,0,0,1,0,1,1,5600,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
37,ATL37,ATL,6,27/07/2017,0,h,1,0,0,0,0,0,0,1,0,0,1,690,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
38,ATL38,ATL,6,27/07/2017,1,a,0,1,0,0,0,1,0,1,1,0,1,140,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
39,ATL39,ATL,6,27/07/2017,1,a,0,1,0,0,0,1,1,1,1,1,1,440,1,0,Amphenicol,td/multiject,0,0,2,1,2,21,153,1,Y,1,1,0,1,1,1,1,3,2,60,1,2,1,280,Y,Y,Y,Y,N,Y,N,0,4,1,5,5,0,0,0,1,1,0,1,0,1,2,2,0,0,1,1,2,2,1,2,1,2,2,2,1,0,1,1,1,0,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,1,yes,yes,no,yes,yes,no,no,no,no,housed,0,0,1,0,1,0,13.14363309,0,0.716700473,0,2.261568627,0,0,0.086544963,1.903051611,0.036060401,0,0
